,Incident ID,# Killed,date
197,359830,9,2015-06-17
128,390526,8,2015-08-08
66,423223,10,2015-10-01
18,456893,16,2015-12-02
639,545525,8,2016-04-22
581,577157,50,2016-06-12
931,853756,8,2017-05-27
788,946496,59,2017-10-01
754,980577,27,2017-11-05
1372,1049217,17,2018-02-14
1301,1118785,10,2018-05-18
1107,1241819,11,2018-10-27
1095,1249561,13,2018-11-07
1574,1466705,23,2019-08-03
1573,1467828,10,2019-08-04
